image_path,text_prompt
./dataset/00000001.jpg,a group of men playing soccer on a field
./dataset/00000002.jpg,a group of young boys playing football on a field
./dataset/00000003.jpg,a mascot is walking on the field
./dataset/00000004.jpg,two men standing on a field
./dataset/00000005.jpg,a field with a soccer field and a soccer field
./dataset/00000006.jpg,the football team is walking on the field
./dataset/00000007.jpg,a football game with a player running for the ball
./dataset/00000008.jpg,the football players are playing on the field
./dataset/00000009.jpg,a football player is running with the ball
./dataset/00000010.jpg,a football player running with the ball
./dataset/00000011.jpg,the pittsburgh steelers running the ball
./dataset/00000012.jpg,the view from the end zone at the stadium
./dataset/00000013.jpg,a baseball game is being played in a stadium
./dataset/00000014.jpg,a football player is running after the ball
./dataset/00000015.jpg,a football player is trying to get the ball
./dataset/00000016.jpg,a football game is being played
./dataset/00000017.jpg,a group of people playing a game of soccer
./dataset/00000018.jpg,a house with a football field in the front yard
./dataset/00000019.jpg,the seahawks's game winning interception
./dataset/00000020.jpg,a football field
./dataset/00000021.jpg,a group of people playing a game of football
./dataset/00000022.jpg,a man in a uniform
./dataset/00000023.jpg,a tennis court
./dataset/00000024.jpg,a football player kneeling on the field
./dataset/00000025.jpg,a football player running with the ball
./dataset/00000026.jpg,a red track
./dataset/00000027.jpg,a football game is being played on a field
./dataset/00000028.jpg,a stadium with red seats and a green field
./dataset/00000029.jpg,a football player running with the ball
./dataset/00000030.jpg,a football game is being played on the field
./dataset/00000031.jpg,a soccer field with a tall tower in the background
./dataset/00000032.jpg,a man in a red shirt and white shorts
./dataset/00000033.jpg,a football game with players on the field
./dataset/00000034.jpg,a football player is tackled by a defender
./dataset/00000035.jpg,a man in a white uniform
./dataset/00000036.jpg,a soccer game is being played on a field
./dataset/00000037.jpg,a football player is running with the ball
./dataset/00000038.jpg,a stadium filled with people
./dataset/00000039.jpg,a group of people standing on a soccer field
./dataset/00000040.jpg,a football player running with the ball
./dataset/00000041.jpg,a group of people standing on top of a soccer field
./dataset/00000042.jpg,a football player running with the ball
./dataset/00000043.jpg,the football field at the school
./dataset/00000044.jpg,a baseball game with a flag and a crowd
./dataset/00000045.jpg,a football player is running with the ball
./dataset/00000046.jpg,a football game
./dataset/00000047.jpg,a soccer player is running towards the crowd
./dataset/00000048.jpg,a football game is being played on the field
./dataset/00000049.jpg,a football player is getting ready to throw the ball
./dataset/00000050.jpg,a football game in a stadium with fans watching
./dataset/00000051.jpg,a football player is running with the ball
./dataset/00000052.jpg,a football player running with the ball
./dataset/00000053.jpg,a football field
./dataset/00000054.jpg,a football player running with the ball
./dataset/00000055.jpg,a football player is running with the ball
./dataset/00000056.jpg,a man in a pink shirt
./dataset/00000057.jpg,a football game with players on the field
./dataset/00000058.jpg,a large crowd of people
./dataset/00000059.jpg,a large green field
./dataset/00000060.jpg,a band performing on a football field
./dataset/00000061.jpg,a woman sitting on the ground
./dataset/00000062.jpg,a football game with the ball in the air
./dataset/00000063.jpg,michigan football team celebrating the team's win
./dataset/00000064.jpg,a football game with a crowd watching
./dataset/00000065.jpg,a football player is tackled by a player
./dataset/00000066.jpg,a football player is jumping in the air
./dataset/00000067.jpg,a man running with a football
./dataset/00000068.jpg,a man in a stadium
./dataset/00000069.jpg,a man in a uniform
./dataset/00000070.jpg,a football game
./dataset/00000071.jpg,a stadium with a large field and a few people
./dataset/00000072.jpg,a football game is being played on a field
./dataset/00000073.jpg,a man throwing a football
./dataset/00000074.jpg,a group of people on a field playing football
./dataset/00000075.jpg,a football game is being played on the field
./dataset/00000076.jpg,a football player is throwing the ball
./dataset/00000077.jpg,a football game with a player running the ball
./dataset/00000078.jpg,the football game is being played in a stadium
./dataset/00000079.jpg,a football game is being played on the field
./dataset/00000080.jpg,a man in a black shirt
./dataset/00000081.jpg,a football player running with the ball
./dataset/00000082.jpg,a football player is about to throw the ball
./dataset/00000083.jpg,a football player running with the ball
./dataset/00000084.jpg,a football player is tackled by a defender
./dataset/00000085.jpg,a man standing in front of a stadium
./dataset/00000086.jpg,a football game with a player running for the ball
./dataset/00000087.jpg,a football player running with the ball
./dataset/00000088.jpg,a football game is being played in a stadium
./dataset/00000089.jpg,a football game with a player running the ball
./dataset/00000090.jpg,a football player running with the ball
./dataset/00000091.jpg,a football player is running with the ball
./dataset/00000092.jpg,a football player running with the ball
./dataset/00000093.jpg,the cowboys are looking to make a move
./dataset/00000094.jpg,the football field
./dataset/00000095.jpg,a football game with players on the field
./dataset/00000096.jpg,a football player running with the ball
./dataset/00000097.jpg,the oklahoma state football team celebrates after a touchdown
./dataset/00000098.jpg,a soccer team standing on a field
./dataset/00000099.jpg,a crowd of people sitting in a stadium
./dataset/00000100.jpg,a young man wearing a helmet and holding a baseball bat
./dataset/00000101.jpg,a group of people walking across a soccer field
./dataset/00000102.jpg,a football game with a player running for the ball
./dataset/00000103.jpg,a football game with a crowd of people watching
./dataset/00000104.jpg,a football helmet and ball on the field
./dataset/00000105.jpg,a man in a uniform
./dataset/00000106.jpg,penn state football players kneel down after the game
./dataset/00000107.jpg,a football player is kneeling on the field
./dataset/00000108.jpg,a group of young children playing football on a field
./dataset/00000109.jpg,the ohio football team running onto the field
./dataset/00000110.jpg,two men standing on a stadium
./dataset/00000111.jpg,a football game is being played on a tv screen
./dataset/00000112.jpg,a football player running on the field
./dataset/00000113.jpg,the cheer team is performing on the field
./dataset/00000114.jpg,a football player is about to throw the ball
./dataset/00000115.jpg,a football player running with the ball
./dataset/00000116.jpg,a large stadium
./dataset/00000117.jpg,the football stadium in virginia
./dataset/00000118.jpg,madden's first - quarter touchdown in madden's first - quarter
./dataset/00000119.jpg,a group of people playing football on a field
./dataset/00000120.jpg,a football stadium
./dataset/00000121.jpg,a man in a red uniform
./dataset/00000122.jpg,a football game with the opposing running
./dataset/00000123.jpg,a football player is running with the ball
./dataset/00000124.jpg,two football players are talking on the field
./dataset/00000125.jpg,a football field
./dataset/00000126.jpg,a man is standing on a football field
./dataset/00000127.jpg,a football game with a player running after the ball
./dataset/00000128.jpg,a football player is running with the ball
./dataset/00000129.jpg,a football coach standing on the sidelines
./dataset/00000130.jpg,a football player about to throw the ball
./dataset/00000131.jpg,the football field at gill stadium
./dataset/00000132.jpg,a football player running with the ball
./dataset/00000133.jpg,a football player running on the field
./dataset/00000134.jpg,a football game is being played on the field
./dataset/00000135.jpg,a football player is tackled by another player
./dataset/00000136.jpg,a man throwing a football
./dataset/00000137.jpg,a football game is being played on a field
./dataset/00000138.jpg,the ohio football team is playing on the field
./dataset/00000139.jpg,a group of men playing soccer on a field
./dataset/00000140.jpg,the cowboys are playing in the nfl game
./dataset/00000141.jpg,a crowd of people watching a baseball game
./dataset/00000142.jpg,a football game is being played
./dataset/00000143.jpg,cheerleaders perform during the game
./dataset/00000144.jpg,the football team is standing in a hu
./dataset/00000145.jpg,a large crowd of people
./dataset/00000146.jpg,the jets'defense is a big hit by the jets'defense
./dataset/00000147.jpg,a football player is running with the ball
./dataset/00000148.jpg,a football game is being played on the field
./dataset/00000149.jpg,two girls playing soccer
./dataset/00000150.jpg,a football game with the referee and the referee
./dataset/00000151.jpg,a group of people standing on a field
./dataset/00000152.jpg,a football player running with the ball
./dataset/00000153.jpg,a football game with a player running for the ball
./dataset/00000154.jpg,a group of people playing soccer on a field
./dataset/00000155.jpg,a football game with the ball in the air
./dataset/00000156.jpg,the girls'soccer team
./dataset/00000157.jpg,a football game is being played in a stadium
./dataset/00000158.jpg,a football game is being played on the field
./dataset/00000159.jpg,a football field
./dataset/00000160.jpg,a football player running with the ball
./dataset/00000161.jpg,a football player is running with the ball
./dataset/00000162.jpg,a football player running with the ball
./dataset/00000163.jpg,a soccer game is being played in a stadium
./dataset/00000164.jpg,a football player is running with the ball
./dataset/00000165.jpg,a group of people on a field
./dataset/00000166.jpg,a football game with a player running for the ball
./dataset/00000167.jpg,a purple banner on the grass
./dataset/00000168.jpg,a football player running with the ball
./dataset/00000169.jpg,the view from the upper of the stadium
./dataset/00000170.jpg,a football player is running with the ball
./dataset/00000171.jpg,the spartans football team is walking out of the stadium
./dataset/00000172.jpg,a group of young men playing football on a field
./dataset/00000173.jpg,a football player is running with the ball
./dataset/00000174.jpg,a football player catching a ball
./dataset/00000175.jpg,a group of young football players standing on a field
./dataset/00000176.jpg,a football game is being played on the field
./dataset/00000177.jpg,a football player throwing a ball
./dataset/00000178.jpg,a football game with a player running for the ball
./dataset/00000179.jpg,a football player is about to throw the ball
./dataset/00000180.jpg,a girl running with a football
./dataset/00000181.jpg,a football game is being played on a field
./dataset/00000182.jpg,a football game is being played
./dataset/00000183.jpg,a football player running with the ball
./dataset/00000184.jpg,"antonio thomas, pittsburgh steelers"
./dataset/00000185.jpg,a football field with the number thirty on it
./dataset/00000186.jpg,a football game with a crowd watching
./dataset/00000187.jpg,a man throwing a football
